well,code,month,observed_m_bg,predicted_m_bg,predicted_lo_m_bg,predicted_hi_m_bg,residual_m
nw4,1F,1991-07,-0.9319999999999999,-1.1478901098223644,-1.1478901098223644,-0.7971469628089873,0.21589010982236445
nw4,1F,1991-08,-1.042,-1.2910405575708714,-1.2910405575708714,-0.9500099032820195,0.2490405575708714
nw4,1F,1991-09,-1.172,-1.3925475492256718,-1.3925475492256718,-1.0599278307665356,0.22054754922567188
nw4,1F,1991-10,-0.862,-1.2321388778074847,-1.2321388778074847,-0.884766068006452,0.37013887780748467
nw4,1F,1991-11,-0.9119999999999999,-1.1261756560933893,-1.1261756560933893,-0.7714637271455966,0.2141756560933894
nw4,1F,1991-12,-1.012,-1.2068465858069608,-1.2068465858069608,-0.8639752928490343,0.1948465858069608
nw4,1F,1992-01,-1.032,-1.229894125056095,-1.229894125056095,-0.8932051248980284,0.19789412505609505
nw4,1F,1992-02,-0.902,-1.2113055706091567,-1.2113055706091567,-0.8756843968672039,0.30930557060915664
nw4,1F,1992-03,-0.752,-1.1277488978685284,-1.1277488978685284,-0.7852567938906521,0.3757488978685284
nw4,1F,1992-04,-0.7919999999999999,-1.1251026739518766,-1.1251026739518766,-0.7826834085949864,0.33310267395187665
nw4,1F,1992-05,-0.732,-1.0920705087726914,-1.0920705087726914,-0.742945125064522,0.3600705087726914
nw4,1F,1992-06,-0.992,-1.1769903748633312,-1.1769903748633312,-0.8313597547540251,0.18499037486333125
nw4,1F,1992-07,-1.1119999999999999,-1.209484410642511,-1.209484410642511,-0.8620849098883089,0.09748441064251123
nw4,1F,1992-08,-0.852,-1.1019439644346425,-1.1019439644346425,-0.7405698804805262,0.2499439644346425
nw4,1F,1992-09,-0.892,-1.0881196331680487,-1.0881196331680487,-0.7247122197158934,0.1961196331680487
nw4,1F,1992-10,-0.762,-1.0260644176840743,-1.0260644176840743,-0.6587504154310656,0.2640644176840743
nw4,1F,1992-11,-0.38199999999999995,-0.8266647945440591,-0.8266647945440591,-0.44257507949091957,0.4446647945440591
nw4,1F,1992-12,-0.202,-0.7125599108516222,-0.7125599108516222,-0.3213268353354657,0.5105599108516221
nw4,1F,1993-01,-0.252,-0.6599761882207135,-0.6599761882207135,-0.2668403280506206,0.40797618822071346
nw4,1F,1993-02,-0.40199999999999997,-0.7660766312769616,-0.7660766312769616,-0.3866608859636852,0.3640766312769616
nw4,1F,1993-03,-0.352,-0.8636675191075044,-0.8636675191075044,-0.4958810383260145,0.5116675191075044
nw4,1F,1993-04,-0.592,-0.8573233559103303,-0.8573233559103303,-0.48864262712094797,0.2653233559103303
nw4,1F,1993-05,-0.24200000000000002,-0.6650009432424316,-0.6650009432424316,-0.2746052541891745,0.42300094324243165
nw4,1F,1993-06,-0.592,-0.6648870393830594,-0.6648870393830594,-0.27020016742913755,0.0728870393830594
nw4,1F,1993-07,-0.702,-0.7913679251230669,-0.7913679251230669,-0.4044756360490225,0.0893679251230669
nw4,1F,1993-08,-0.822,-0.9029153894273982,-0.9029153894273982,-0.5238685376860064,0.08091538942739829
nw4,1F,1993-09,-0.692,-0.853682525152523,-0.853682525152523,-0.46901409671415095,0.16168252515252302
nw4,1F,1993-10,-0.9119999999999999,-0.9512241685631504,-0.9512241685631504,-0.5784639599225776,0.039224168563150474
nw4,1F,1993-11,-0.782,-0.8476129499657085,-0.8476129499657085,-0.46813397375779925,0.06561294996570843
nw4,1F,1993-12,-0.502,-0.6618392978504286,-0.6618392978504286,-0.26737635525876086,0.1598392978504286
nw4,1F,1994-01,-0.45199999999999996,-0.6105759944336073,-0.6105759944336073,-0.2142997753692573,0.15857599443360737
nw4,1F,1994-02,-0.302,-0.5140977669114889,-0.5140977669114889,-0.11178344030425477,0.2120977669114889
nw4,1F,1994-03,-0.052000000000000005,-0.35309710900105373,-0.35309710900105373,0.06400818374050998,0.30109710900105374
nw4,1F,1994-04,-0.04200000000000001,-0.2727083722315396,-0.2727083722315396,0.1521499328809984,0.2307083722315396
nw4,1F,1994-05,-0.34199999999999997,-0.43233360865779735,-0.43233360865779735,-0.02071495916150426,0.09033360865779738
nw4,1F,1994-06,-0.6619999999999999,-0.6441092280038114,-0.6441092280038114,-0.24920465688314566,-0.017890771996188493
nw4,1F,1994-07,-0.422,-0.78112142241199,-0.78112142241199,-0.39392125414423973,0.35912142241199
