well,network,cluster_id,cluster_label,n_springs,n_msl5_windows,n_obs_ssm,spring_sd_mm,rho_lag1,rho_ar1_expected,t_R_months,beta_2,beta_3,se_beta_3,rel_se_beta_3,msl5_window_se_mm,msl5_window_spread_mm,ewi_se_mm_beta3,ewi_se_mm_full,ewi_over_msl5_se_beta3
nw8b,extended,5,C5 (Coastal Forest),10,6,128,,,0.4815506642411678,16.42162339408656,1.9328611494611971,0.060895319299558465,0.00937823427359539,0.15400583134249843,,218.0000000000002,325.21627712125866,442.0164008936486,
ceh3,extended,5,C5 (Coastal Forest),19,15,237,263.8656499462794,0.5086013397841931,0.5112319274081659,17.885570212705378,-0.04715877057855327,0.055910993505235276,0.005662220518924898,0.10127204265105234,118.0043060414089,481.33333333333326,256.4097134292957,348.1235255773797,2.172884380501496
ceh7,extended,2,C2 (Dune),10,2,112,,,0.5253614917659226,18.64313123334921,1.9357617364032036,0.05363905813263707,0.007840827673226964,0.1461775792900464,,,421.17590006670156,607.9564780622136,
ceh8,extended,2,C2 (Dune),13,9,157,190.13012300846407,-0.061692198199056796,0.6697751253203814,29.939129499497646,1.980091576852414,0.03340110473207911,0.005505384481990971,0.16482641895085245,85.0287759234645,141.10000000000005,486.9026610057405,676.2372473386631,5.72632800740314
ceh12,extended,1,C1 (Lake Edge),2,0,32,,,0.3480443473962382,11.36982331026875,1.3125647628700219,0.08795211435667974,0.014243724209125076,0.16194862753794959,,,403.4338894232982,553.2395163032768,
ceh15,extended,4,C4 (Main Forest),10,6,118,,,0.6541935522747511,28.278409055539164,2.091202534247503,0.03536266831829142,0.008181520948264132,0.2313603960714758,,298.0000000000003,538.2689616062142,801.442053830379,
ceh22,extended,3,C3 (Western Residual),16,12,183,221.68003301388475,-0.22140264568245072,0.5109536674900275,17.871068377554113,0.5128588902117592,0.05595636359692911,0.0042290368126449195,0.07557740604997086,99.13832461468877,232.66666666666657,222.90104533842296,303.4129971666244,2.2483842268340792
ceh35,extended,3,C3 (Western Residual),5,1,55,,,0.45756084642015155,15.348302766813454,0.7676816312172746,0.06515378378919062,0.00885660845408067,0.1359339080403498,,,394.3239100813772,530.5189335658154,
ceh37,extended,2,C2 (Dune),12,4,127,373.82633393880633,-0.06561615304414961,0.3799109775673,12.399021295127326,1.8325875375350678,0.08065152693890353,0.00757392236214942,0.09390922465593171,167.18021889334153,312.66666666666663,290.9176225779492,405.4786222670233,1.7401438071064512
ceh38,extended,3,C3 (Western Residual),7,1,78,,,0.48688984495354753,16.673211537975433,0.6444588636198213,0.05997644771209005,0.00606951904306039,0.1011983749387161,,,292.2091487467163,398.90940517487616,
fe1,extended,4,C4 (Main Forest),10,6,127,,,0.8288082267363883,63.90917009082115,2.5708138640966713,0.015647206787052666,0.007270621562422951,0.4646593900988802,,338.6666666666667,1298.4672487695657,1729.3521397339246,
fe2,extended,5,C5 (Coastal Forest),10,6,127,,,0.5670872360781628,21.15498714234555,1.8416630106603724,0.04727017763099077,0.008705293679038866,0.1841603758504092,,250.6666666666666,365.965551788271,495.81116605029456,
fe3,extended,5,C5 (Coastal Forest),9,5,107,,,0.47136514012251957,15.954853277287299,1.6172362994866054,0.06267685340758104,0.011881209375912203,0.1895629523494094,,163.6284153005463,316.4474063611313,433.0763587249585,
fe4,extended,5,C5 (Coastal Forest),8,4,99,,,0.5652451323155507,21.034336156123825,1.719139340543859,0.04754131495178494,0.010823960695583846,0.22767482781158246,,208.66666666666654,474.7057814595024,642.4275610025851,
lis1,extended,4,C4 (Main Forest),8,4,99,,,0.7197002388296374,36.48298119178085,2.303194535322055,0.02741004071852788,0.010420024320425155,0.38015355129997,,240.66666666666669,1046.3608848319022,1412.4931650769265,
p2,extended,1,C1 (Lake Edge),6,2,78,,,0.29992912226287566,9.96504683951105,-0.5647774445386097,0.10035075761360561,0.010921744462695398,0.10883569513993009,,,349.6892930304368,467.46081382208826,
pe,extended,2,C2 (Dune),6,2,78,,,0.41970665778301613,13.82171207955489,1.2617301794709268,0.07234993713110277,0.010377183787657191,0.14343044650962256,,,404.75360803487257,547.1992017022028,
pw,extended,3,C3 (Western Residual),6,2,78,,,0.5165554132377549,18.166054721577872,1.4612157935106036,0.0550477258450723,0.008454087824510162,0.15357742204107683,,,449.6057798311006,604.091064693222,
p1,extended,3,C3 (Western Residual),4,0,44,,,0.5709788603361915,21.413158077180224,1.2089429492008548,0.04670025768248026,0.009557445170049512,0.20465508424025283,,,697.8101024010584,926.9858494325814,
