Name_Original,Cluster,basis,window_months,n,fit_start,fit_end,beta_1_recharge,pvalue_beta_1,beta_2_atmospheric_draw,pvalue_beta_2,beta_3_drainage,se_beta_3,pvalue_beta_3,R2,LCSC_percent,beta_3_significant_positive
L7,2,full_record,,199,2009-05,2026-02,4.249275185870675,5.952236105195448e-72,2.5229187196905163,1.5732275494985787e-30,0.08482836891974836,0.0071086418070789486,4.979801228205141e-25,0.8303585953036393,23.53342526097425,True
L7,2,comparison_window,100,100,2017-10,2026-02,4.388400619360735,8.70577343234769e-39,2.622761232538312,3.645097074704709e-17,0.08208592913810538,0.009885187969444462,6.040009573403846e-13,0.8537799734421909,22.787345248020486,True
D5,2,full_record,,190,2010-04,2026-02,4.067186469960866,1.163960107620258e-50,1.8736862967361612,7.267214138347242e-13,0.06372442731311606,0.006776271274543323,1.916992547346479e-17,0.7347435177600969,24.587021209519854,True
D5,2,comparison_window,100,100,2017-10,2026-02,4.300589546603342,1.143368839978359e-26,1.7830047065637964,3.794577086130428e-06,0.06804335880479279,0.010264289021995197,1.9087732707916264e-09,0.7339901971141608,23.252625928689525,True
D6,2,full_record,,190,2010-04,2026-02,4.199039973531355,9.804499229220465e-57,2.0684390128832093,6.423774132330707e-17,0.06254839843339521,0.006224944485765569,2.8714767480402947e-19,0.7749870938671437,23.814967380722717,True
D6,2,comparison_window,100,100,2017-10,2026-02,4.38981214294229,2.9027850474341833e-29,2.061301486460152,2.295621321774272e-08,0.06483875904937353,0.009456837825305802,6.58409868656719e-10,0.7700740335999092,22.78001808363822,True
D7,2,full_record,,179,2010-04,2026-02,4.333217866041359,3.375476756134472e-48,1.4433873385589102,7.262577834835267e-08,0.07445463100186206,0.007145603315625673,4.173994847307667e-20,0.7280143469750411,23.077538007881355,True
D7,2,comparison_window,100,100,2017-03,2026-02,4.493047995379472,2.6040916937224324e-25,1.315726692291617,0.0006662945262447135,0.07632486521169689,0.010667859680521728,1.600070108809904e-10,0.7037702785580782,22.256606228742108,True
D8,2,full_record,,186,2010-05,2026-02,3.6452856065875743,3.4540892141089904e-46,1.7575256538245259,2.772034012965698e-12,0.05254439434629121,0.006360824773906465,2.8414672996279107e-14,0.7170319659272604,27.432692741354778,True
D8,2,comparison_window,100,100,2017-10,2026-02,3.7843026408044347,8.076094487691989e-26,1.6732936355793733,2.0924695176103408e-06,0.055224635289041264,0.009038248106315167,2.0712979228403246e-08,0.7312707872488211,26.424947868002135,True
